customer_id,customer_name,customer_email,support_tickets,avg_resolution_time,critical_tickets_sla_breach,product_renewals,tenure_months,monthly_spend,last_login,total_products,products_transferred_out,avg_load_time,downtime_minutes,product_usage_percent
309a6b95-5025-4d1a-bf4f-5c63d376354e,Brandon Russell,jason05@example.org,2,76.49,1,1,11,20.94,2025-06-18,1,0,12.85,44,62.5
9351f52b-7cf8-43b7-bd2a-9b50b8e7294c,Steven Johnson,owalker@example.net,4,5.41,1,4,23,40.12,2025-07-31,1,0,1.96,9,54.3
e65a5898-6568-457b-a975-871bf5115813,Evelyn Christian,mmyers@example.com,2,81.04,0,4,27,20.45,2025-07-08,1,0,0.72,76,44.3
0dbf6b07-0c43-4809-a6ff-c081ef888532,George Cook,terrelltyler@example.org,2,51.5,0,1,10,120.19,2025-07-18,5,0,4.83,2,42.1
2d3ee88f-26e3-4dca-93a0-19a7267d4409,Aaron Graham,donald12@example.org,2,53.89,0,1,1,27.3,2025-07-29,2,2,7.36,7,58.5
1f0c43ae-fb99-4f72-85cb-dde1506d30ca,Kyle Jones,whouse@example.net,1,3.49,0,2,12,50.83,2025-06-09,4,0,2.61,10,85.0
5b71c05a-d388-498f-8ba3-3dd953d3e287,Jerome Whitehead,wallacemichael@example.com,4,30.49,2,5,33,33.25,2025-07-01,2,0,4.79,2,75.2
7610767e-ad30-4fee-997a-62c6248c0ed4,Charles Tyler,peterwilliams@example.net,2,1.0,0,3,14,58.24,2025-07-25,3,0,2.59,8,45.1
9579beb9-a1ad-48c7-852d-1db8c536e7a1,Thomas Berry,watkinsmark@example.org,1,33.72,0,1,5,93.4,2025-07-26,2,0,15.0,46,52.7
7bf8fe29-f072-4e46-84dd-0315f5ac89fc,Ryan Mack,susanwhite@example.org,1,1.0,1,0,4,11.41,2025-08-01,1,0,11.31,9,78.2
836daeb8-3f9c-4048-86b8-0e11e4704a04,Robert Clark,ataylor@example.org,2,2.55,0,2,11,17.3,2025-08-01,1,0,5.25,21,9.7
34d09598-e933-4e81-9628-4b432f47b524,Kelsey Pacheco,riveracorey@example.org,1,6.75,1,4,21,18.16,2025-06-16,1,0,8.19,4,90.2
c83586ca-92f7-4454-8dd3-596fac1618c7,James Hammond,mjordan@example.net,4,69.9,0,4,11,124.58,2025-07-29,1,0,1.73,26,39.4
11c9b2e7-3d7a-4a9a-8947-6b95a708838c,Melinda Little,jbrown@example.org,0,10.85,0,3,10,31.9,2025-05-24,2,0,4.55,28,90.8
9d19d47f-519b-4e19-8476-ddaebea672c5,Stefanie Tucker,idominguez@example.net,1,20.5,0,5,25,150.0,2025-07-17,3,0,0.5,7,20.2
39c2ead9-4ee5-4001-9a03-ec4c607fdc6b,Jade Johnson,howardstephanie@example.org,2,24.18,0,1,7,18.28,2025-07-09,1,0,1.33,2,69.1
e2ca6293-7029-42f0-8d4c-12d907b29b7e,Catherine Wilkins,joereynolds@example.net,3,7.97,0,3,13,42.68,2025-07-11,1,0,2.18,36,49.0
a6a52f27-5069-42fe-b20c-8c4015758a2c,Mary Jackson,christophersmith@example.com,3,26.49,0,2,15,34.62,2025-07-14,2,1,0.5,30,83.3
d805d401-3411-4a6a-9812-9e29f70b2393,James Jones,oreed@example.org,1,28.55,0,1,5,13.08,2025-07-21,1,0,4.13,19,45.1
0720326d-56d8-4b34-8566-88eac361bf3a,Kenneth Rogers,piercedaniel@example.org,4,11.9,3,2,10,60.41,2025-07-13,1,0,0.89,67,82.0
340b5fbb-c279-40dd-8e89-91afaca27491,Brandon Fuller,jimmy80@example.net,3,16.92,1,1,4,5.54,2025-07-12,1,0,2.73,113,43.0
241a779c-e949-40d6-a6aa-1789118557e5,Harold Perez,sabrina85@example.com,2,17.38,0,3,23,15.71,2025-07-29,1,0,5.49,39,42.9
33527dd0-ddc7-4e3e-aa26-00f3f734df64,Misty Stout,meghanmcdowell@example.net,1,71.11,0,1,6,51.47,2025-07-18,3,0,6.46,98,88.9
0ec52f2c-fe97-4cf1-9a1c-146a63fb1321,Wendy Maynard,michael05@example.net,3,27.63,0,3,32,53.64,2025-06-30,1,0,0.87,4,72.6
69ced4d0-6419-4aea-a430-5116fed7c96a,Cynthia Webb,lucaschristopher@example.net,2,85.29,0,1,13,150.0,2025-06-26,4,1,4.74,5,49.5
f64ce7f9-6230-4363-94a3-6f306b904aea,William Wallace,chelseawallace@example.org,1,21.44,0,3,8,57.72,2025-07-13,3,0,8.77,209,19.9
abfe1c5e-f052-4c7e-b09c-4488f7380ab7,Amanda Taylor,raymondgregory@example.org,2,19.99,1,2,13,131.11,2025-07-16,3,0,1.38,14,51.2
74566eaa-c672-4ffd-afb5-5ab321b66c90,David Bell,jennifersimmons@example.com,3,1.0,1,0,3,13.82,2025-08-01,1,0,1.08,24,31.2
837a4856-fa12-4505-9e20-b5f9cab88064,Jeffrey Fisher,desiree88@example.org,0,15.74,0,2,9,44.8,2025-07-07,3,0,15.0,86,8.8
2a40446d-ea2b-4592-945f-5a5ce0a1dbd8,Arthur Kelly,ujohnson@example.org,1,69.26,1,4,17,63.14,2025-07-31,2,0,5.54,27,88.5
71746093-2373-4dac-b7a9-d13a77928be0,Jeffrey Smith,kimberlydiaz@example.org,4,7.43,2,4,22,84.43,2025-07-10,3,1,8.18,61,49.8
7d1cbffa-e790-432c-b4ac-3a786c2ffe2d,Angel Benson,zoejacobs@example.com,1,1.41,0,0,4,94.11,2025-07-20,1,1,1.46,36,42.3
41f509b2-2164-4792-bf0c-cc5e5ddd8609,William Baker,orozcocharles@example.org,1,13.79,1,3,27,17.23,2025-07-21,1,0,2.15,58,36.3
9ad82888-7935-44a8-9e31-541ce037e446,Paul Rogers,michael46@example.org,2,13.42,2,4,14,39.87,2025-08-01,2,0,1.72,19,69.0
b75fb650-b477-42de-80a1-a3c8a8e064ed,Mark Booker,april81@example.net,0,46.7,0,3,17,20.98,2025-07-29,1,0,1.25,89,59.0
d1852cca-471d-4ec2-b7ed-d3a2f872d48a,Jennifer Robbins,hestermark@example.net,0,1.0,0,2,9,150.0,2025-07-30,5,0,7.96,4,43.1
b97cfb7d-60c1-43b9-bcae-703425f44eb4,Jacqueline Young,scott30@example.org,3,78.86,1,2,4,97.12,2025-07-22,4,0,1.0,49,34.0
9ea8f71c-86c6-4f8f-91c0-e69d538b9e28,Shawn Brown,harveysarah@example.com,2,32.9,0,1,5,9.91,2025-07-22,1,1,2.1,8,44.9
4697ecb6-7e91-4c94-aeb4-2c2ffbdf1a63,Kimberly Thomas,wroth@example.net,1,61.93,0,3,16,12.48,2025-03-20,1,0,7.93,28,68.6
4fafb988-088f-4e43-8c71-2db268e6e039,Sydney Parsons,lorianderson@example.org,3,29.18,0,4,23,13.95,2025-07-19,1,0,3.6,44,44.2
722f4b22-970e-436c-b280-47e488331b8d,Cameron Proctor,aclark@example.com,1,44.12,0,1,13,63.85,2025-07-28,1,0,3.84,36,40.7
cce72784-56de-4414-8942-867945aade70,Lori Pham,leahmiller@example.net,3,12.75,1,2,14,62.65,2025-07-26,1,0,0.92,17,45.4
f262471c-c881-430c-ac95-5fadfafe60ab,Antonio Taylor,robert64@example.org,3,13.42,0,4,36,21.51,2025-07-31,1,0,4.68,79,58.0
aeb5963d-ec63-4f03-8dc6-5a9093a0ab91,Hannah Pitts,martinezashley@example.com,3,15.42,2,5,22,41.96,2025-06-02,3,1,0.94,5,62.2
df9bf880-d664-4bbc-8604-8f1d075c2755,Veronica Barnett,littleamy@example.org,1,37.11,0,3,34,150.0,2025-07-30,6,0,2.19,38,21.7
99d5abc4-5008-4935-99b4-127818d45bec,Rick Johnson,larry85@example.org,2,13.27,1,4,14,62.02,2025-05-15,1,0,5.47,8,41.5
abd33266-5853-435e-95c9-62e7c6b83092,Shelby Robertson,kylebeard@example.org,1,7.32,0,0,1,46.07,2025-08-01,1,0,8.79,34,65.5
986a1eb9-8129-4146-9a50-6efa67695670,Jonathan Gardner,clewis@example.com,2,79.93,0,2,3,40.47,2025-07-16,4,0,2.39,6,71.0
fe11a575-6708-4bff-85a0-8a2ada94c968,Steven Peterson,clinelauren@example.org,3,74.45,1,5,45,14.27,2025-07-25,2,0,2.29,1,50.3
b1d17a33-d9df-4511-b761-c8ce836d714d,Jonathan Harris,elizabethpierce@example.org,2,12.35,1,1,7,7.06,2025-08-01,1,0,6.03,46,29.7
5e117996-a733-4b41-bbd5-4017bc1cecd4,James Mays,mlane@example.com,2,29.0,0,4,12,65.98,2025-06-20,2,0,3.28,51,81.1
20f38a82-6a38-476c-92c2-7bb365871914,Craig Gonzalez,xdawson@example.org,2,9.22,0,3,27,88.81,2025-08-01,1,1,7.65,5,36.8
329f5ab7-7d9d-4ae1-951c-993523d7d0e3,Stephanie Lee DDS,christopherwilliams@example.net,1,6.09,1,1,8,6.75,2025-07-25,2,0,1.46,49,41.5
67388abb-bc1f-4eea-a546-093958fdfb66,Evan Peterson,jacqueline30@example.org,4,13.78,2,0,3,61.2,2025-08-01,2,0,11.9,11,78.0
1768866e-d6d5-474d-beb1-4855332f0966,Tanya Lamb,spencebrent@example.com,2,11.41,0,1,12,21.86,2025-07-28,1,1,5.34,25,81.5
7f8bf49d-e881-44aa-b427-2ce6b0b81212,Rachel Webb,vgilbert@example.net,4,71.88,1,3,3,22.19,2025-07-31,1,0,5.01,27,22.3
